PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,DailyDate
9ugmF,R7/8/8/5pk1/4p3/6r1/5K2/8 b - - 9 64,g5g4 a8g8 g4f4 g8g3,644,105,89,720,crushing endgame rookEndgame short,https://lichess.org/DOaXpLSX/black#128,,
9ukJt,1k1r4/ppp5/2P1pq2/6p1/1P5p/b3B2P/2R1QPP1/6K1 b - - 0 26,a3b4 e2b5 d8d1 g1h2 f6e5 b5e5,2270,79,100,381,advantage endgame long,https://lichess.org/8tfADh90/black#52,,
9uuUN,2b3rQ/p4q1k/6pp/6p1/3QP3/2B4P/PP4P1/6K1 b - - 1 45,g8h8 d4h8,777,98,95,354,endgame mate mateIn1 oneMove,https://lichess.org/MdQeGjrP/black#90,,
9v2ib,3r1rk1/pQ3ppp/1p6/2p3q1/5n2/1BP4P/PP4P1/4RRK1 b - - 7 26,d8d2 b7f7 f8f7 e1e8,1694,75,84,212,kingsideAttack mate mateIn2 middlegame pin sacrifice short,https://lichess.org/W3pqPGRT/black#52,,
9vGyN,3Q4/7p/p1K3p1/2N2k2/6P1/P6P/1r6/2q5 b - - 0 42,f5e5 d8d6,2009,79,81,380,endgame mate mateIn1 oneMove,https://lichess.org/LU3p2jP1/black#84,,
9vT5F,7Q/4kp2/p2q1p2/1pp2P2/3pK3/1P3P1p/P1Pr4/1R3R2 w - - 0 28,f3f4 d6c6,1881,75,94,3531,endgame mate mateIn1 oneMove,https://lichess.org/F4kipMHj#55,,
9vUid,r5k1/p1p3p1/2pbpr1B/5pQ1/3P4/2P2q2/P4PRP/R6K b - - 2 21,f6f7 h6g7 f3g2 g5g2,1618,74,89,916,advantage middlegame short,https://lichess.org/DaMf9G6V/black#42,,
9vXIq,6k1/5rp1/4p2p/4P3/PQNq4/1P4nP/2P3PK/4R3 w - - 0 33,b4b8 f7f8 b8f8 g8f8,1066,76,100,434,defensiveMove endgame equality master short,https://lichess.org/ddPdjGDY#65,,
9vlHs,6K1/r6P/6k1/8/8/8/8/8 w - - 7 72,h7h8q a7a8,1064,85,90,540,endgame master mate mateIn1 oneMove queenRookEndgame,https://lichess.org/4j5ELH3r#143,,
9wrzr,2r3k1/5ppp/pqr1pb2/1p6/1P2N3/P3P1P1/2R1QP1P/2R3K1 b - - 1 25,f6b2 c2c6 c8c6 e2b2,2127,79,85,437,crushing discoveredAttack middlegame short,https://lichess.org/dJ7bAkZv/black#50,,
